,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
2407,Canada,Central African Rep.,1996,2,,"(-106.346771, 56.130366)"
2410,Canada,"China, Hong Kong SAR",1996,6,,"(-106.346771, 56.130366)"
2415,Canada,Dem. Rep. of the Congo,1996,152,,"(-106.346771, 56.130366)"
2436,Canada,Iran (Islamic Rep. of),1996,363,,"(-106.346771, 56.130366)"
2444,Canada,Lao People's Dem. Rep.,1996,5,,"(-106.346771, 56.130366)"
2453,Canada,Myanmar,1996,87,,"(-106.346771, 56.130366)"
2461,Canada,Russian Federation,1996,22,,"(-106.346771, 56.130366)"
2465,Canada,Serbia and Kosovo: S/RES/1244 (1999),1996,336,,"(-106.346771, 56.130366)"
2475,Canada,Syrian Arab Rep.,1996,43,,"(-106.346771, 56.130366)"
2477,Canada,The former Yugoslav Rep. of Macedonia,1996,4,,"(-106.346771, 56.130366)"
2482,Canada,United Kingdom of Great Britain and Northern Ireland,1996,10,,"(-106.346771, 56.130366)"
2483,Canada,United Rep. of Tanzania,1996,1,,"(-106.346771, 56.130366)"
2484,Canada,United States of America,1996,2,,"(-106.346771, 56.130366)"
2485,Canada,Various/unknown,1996,78,,"(-106.346771, 56.130366)"
2486,Canada,Viet Nam,1996,50,,"(-106.346771, 56.130366)"
2492,Denmark,Dem. Rep. of the Congo,1996,2,,"(9.501785, 56.26392)"
2495,Denmark,Iran (Islamic Rep. of),1996,201,,"(9.501785, 56.26392)"
2501,Denmark,Stateless,1996,2,,"(9.501785, 56.26392)"
2502,Denmark,Syrian Arab Rep.,1996,1,,"(9.501785, 56.26392)"
2504,Denmark,Viet Nam,1996,24,,"(9.501785, 56.26392)"
2505,Finland,Various/unknown,1996,840,,"(25.748151, 61.92411)"
2506,Iceland,Various/unknown,1996,30,,"(-19.020835, 64.963051)"
2507,Japan,Various/unknown,1996,4,,"(138.252924, 36.204824)"
2511,Netherlands,Iran (Islamic Rep. of),1996,9,,"(5.291266, 52.132633)"
2523,New Zealand,Lao People's Dem. Rep.,1996,5,,"(174.885971, -40.900557)"
2526,New Zealand,Palestinian,1996,6,,"(174.885971, -40.900557)"
2528,New Zealand,Serbia and Kosovo: S/RES/1244 (1999),1996,1,,"(174.885971, -40.900557)"
2534,New Zealand,Viet Nam,1996,116,,"(174.885971, -40.900557)"
2536,Norway,Various/unknown,1996,594,,"(8.468946, 60.472024)"
2537,Sweden,Various/unknown,1996,1629,,"(18.643501, 60.128161)"
2538,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1996,20,,
2539,United States of America,Albania,1996,23,"(20.168331, 41.153332)",
2540,United States of America,Angola,1996,2,"(17.873887, -11.202692)",
2541,United States of America,Bosnia and Herzegovina,1996,12030,"(17.679076, 43.915886)",
2542,United States of America,Burundi,1996,8,"(29.918886, -3.373056)",
2543,United States of America,Cameroon,1996,1,"(12.354722, 7.369722)",
2544,United States of America,China,1996,1,"(104.195397, 35.86166)",
2545,United States of America,Cuba,1996,3498,"(-77.781167, 21.521757)",
2546,United States of America,Czech Rep.,1996,1,,
2547,United States of America,Dem. Rep. of the Congo,1996,38,,
2548,United States of America,Eritrea,1996,14,"(39.782334, 15.179384)",
2549,United States of America,Ethiopia,1996,194,"(40.489673, 9.145)",
2550,United States of America,Ghana,1996,1,"(-1.023194, 7.946527)",
2551,United States of America,Haiti,1996,39,"(-72.285215, 18.971187)",
2552,United States of America,India,1996,4,"(78.96288, 20.593684)",
2553,United States of America,Iran (Islamic Rep. of),1996,1256,,
2554,United States of America,Iraq,1996,2528,"(43.679291, 33.223191)",
2555,United States of America,Kenya,1996,6,"(37.906193, -0.023559)",
2556,United States of America,Lao People's Dem. Rep.,1996,2201,,
2557,United States of America,Liberia,1996,46,"(-9.429499, 6.428055)",
2558,United States of America,Myanmar,1996,11,,
2559,United States of America,Nicaragua,1996,2,"(-85.207229, 12.865416)",
2560,United States of America,Nigeria,1996,34,"(8.675277, 9.081999)",
2561,United States of America,Peru,1996,2,"(-75.015152, -9.189967)",
2562,United States of America,Poland,1996,11,"(19.145136, 51.919438)",
2563,United States of America,Romania,1996,16,"(24.96676, 45.943161)",
2564,United States of America,Russian Federation,1996,29536,,
2565,United States of America,Rwanda,1996,118,"(29.873888, -1.940278)",
2566,United States of America,Sierra Leone,1996,13,"(-11.779889, 8.460555)",
2567,United States of America,Somalia,1996,6436,"(46.199616, 5.152149)",
2568,United States of America,South Africa,1996,1,"(22.937506, -30.559482)",
2569,United States of America,Sudan,1996,575,"(30.217636, 12.862807)",
2570,United States of America,Togo,1996,1,"(0.824782, 8.619543)",
2571,United States of America,Uganda,1996,10,"(32.290275, 1.373333)",
2572,United States of America,Various/unknown,1996,11,,
2573,United States of America,Viet Nam,1996,17021,,
2574,United States of America,Zambia,1996,4,"(27.849332, -13.133897)",
2589,Australia,Iran (Islamic Rep. of),1997,231,,"(133.775136, -25.274398)"
2592,Australia,Myanmar,1997,127,,"(133.775136, -25.274398)"
2594,Australia,Russian Federation,1997,79,,"(133.775136, -25.274398)"
2595,Australia,Serbia and Kosovo: S/RES/1244 (1999),1997,1595,,"(133.775136, -25.274398)"
2600,Australia,Syrian Arab Rep.,1997,7,,"(133.775136, -25.274398)"
2601,Australia,The former Yugoslav Rep. of Macedonia,1997,12,,"(133.775136, -25.274398)"
2604,Australia,Viet Nam,1997,614,,"(133.775136, -25.274398)"
2622,Canada,"China, Hong Kong SAR",1997,2,,"(-106.346771, 56.130366)"
2627,Canada,Czech Rep.,1997,1,,"(-106.346771, 56.130366)"
2628,Canada,Dem. Rep. of the Congo,1997,71,,"(-106.346771, 56.130366)"
2644,Canada,Iran (Islamic Rep. of),1997,185,,"(-106.346771, 56.130366)"
2652,Canada,Lao People's Dem. Rep.,1997,1,,"(-106.346771, 56.130366)"
2657,Canada,Myanmar,1997,146,,"(-106.346771, 56.130366)"
2667,Canada,Russian Federation,1997,170,,"(-106.346771, 56.130366)"
2670,Canada,Serbia and Kosovo: S/RES/1244 (1999),1997,461,,"(-106.346771, 56.130366)"
2681,Canada,Syrian Arab Rep.,1997,16,,"(-106.346771, 56.130366)"
2689,Canada,United Kingdom of Great Britain and Northern Ireland,1997,1,,"(-106.346771, 56.130366)"
2690,Canada,United Rep. of Tanzania,1997,1,,"(-106.346771, 56.130366)"
2691,Canada,United States of America,1997,1,,"(-106.346771, 56.130366)"
2693,Canada,Various/unknown,1997,52,,"(-106.346771, 56.130366)"
2694,Canada,Venezuela (Bolivarian Republic of),1997,3,,"(-106.346771, 56.130366)"
2695,Canada,Viet Nam,1997,32,,"(-106.346771, 56.130366)"
2702,Denmark,Iran (Islamic Rep. of),1997,153,,"(9.501785, 56.26392)"
2705,Denmark,Palestinian,1997,1,,"(9.501785, 56.26392)"
2706,Denmark,Russian Federation,1997,4,,"(9.501785, 56.26392)"
2714,Denmark,Viet Nam,1997,1,,"(9.501785, 56.26392)"
2716,Finland,Iran (Islamic Rep. of),1997,251,,"(25.748151, 61.92411)"
2719,Finland,Serbia and Kosovo: S/RES/1244 (1999),1997,24,,"(25.748151, 61.92411)"
2720,Iceland,Serbia and Kosovo: S/RES/1244 (1999),1997,17,,"(-19.020835, 64.963051)"
2721,Japan,Various/unknown,1997,4,,"(138.252924, 36.204824)"
2725,Netherlands,Iran (Islamic Rep. of),1997,3,,"(5.291266, 52.132633)"
2732,New Zealand,Iran (Islamic Rep. of),1997,24,,"(174.885971, -40.900557)"
2734,New Zealand,Lao People's Dem. Rep.,1997,62,,"(174.885971, -40.900557)"
2737,New Zealand,Serbia and Kosovo: S/RES/1244 (1999),1997,3,,"(174.885971, -40.900557)"
2741,New Zealand,Syrian Arab Rep.,1997,13,,"(174.885971, -40.900557)"
2742,New Zealand,Viet Nam,1997,23,,"(174.885971, -40.900557)"
2750,Norway,Iran (Islamic Rep. of),1997,564,,"(8.468946, 60.472024)"
2755,Norway,Serbia and Kosovo: S/RES/1244 (1999),1997,1,,"(8.468946, 60.472024)"
2757,Norway,Stateless,1997,5,,"(8.468946, 60.472024)"
2759,Norway,Syrian Arab Rep.,1997,2,,"(8.468946, 60.472024)"
2762,Norway,Viet Nam,1997,3,,"(8.468946, 60.472024)"
2767,Sweden,Iran (Islamic Rep. of),1997,686,,"(18.643501, 60.128161)"
2771,Sweden,Various/unknown,1997,21,,"(18.643501, 60.128161)"
2772,Sweden,Viet Nam,1997,21,,"(18.643501, 60.128161)"
2773,United States of America,Albania,1997,9,"(20.168331, 41.153332)",
2774,United States of America,Bosnia and Herzegovina,1997,21357,"(17.679076, 43.915886)",
2775,United States of America,Burkina Faso,1997,1,"(-1.561593, 12.238333)",
2776,United States of America,Burundi,1997,33,"(29.918886, -3.373056)",
2777,United States of America,Cameroon,1997,19,"(12.354722, 7.369722)",
2778,United States of America,Chad,1997,45,"(18.732207, 15.454166)",
2779,United States of America,Cuba,1997,2911,"(-77.781167, 21.521757)",
2780,United States of America,Dem. Rep. of the Congo,1997,45,,
2781,United States of America,Djibouti,1997,16,"(42.590275, 11.825138)",
2782,United States of America,Eritrea,1997,7,"(39.782334, 15.179384)",
2783,United States of America,Ethiopia,1997,197,"(40.489673, 9.145)",
2784,United States of America,Gambia,1997,16,"(-15.310139, 13.443182)",
2785,United States of America,Ghana,1997,4,"(-1.023194, 7.946527)",
2786,United States of America,Haiti,1997,75,"(-72.285215, 18.971187)",
2787,United States of America,India,1997,6,"(78.96288, 20.593684)",
2788,United States of America,Iran (Islamic Rep. of),1997,1305,,
2789,United States of America,Iraq,1997,2679,"(43.679291, 33.223191)",
2790,United States of America,Lao People's Dem. Rep.,1997,939,,
2791,United States of America,Liberia,1997,231,"(-9.429499, 6.428055)",
2792,United States of America,Myanmar,1997,182,,
2793,United States of America,Nigeria,1997,7,"(8.675277, 9.081999)",
2794,United States of America,Poland,1997,6,"(19.145136, 51.919438)",
2795,United States of America,Romania,1997,3,"(24.96676, 45.943161)",
2796,United States of America,Russian Federation,1997,27072,,
2797,United States of America,Rwanda,1997,100,"(29.873888, -1.940278)",
2798,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1997,3,,
2799,United States of America,Sierra Leone,1997,57,"(-11.779889, 8.460555)",
2800,United States of America,Somalia,1997,4974,"(46.199616, 5.152149)",
2801,United States of America,South Africa,1997,1,"(22.937506, -30.559482)",
2802,United States of America,Sudan,1997,277,"(30.217636, 12.862807)",
2803,United States of America,Togo,1997,30,"(0.824782, 8.619543)",
2804,United States of America,Uganda,1997,9,"(32.290275, 1.373333)",
2805,United States of America,Viet Nam,1997,7469,,
2816,Australia,Dem. Rep. of the Congo,1998,3,,"(133.775136, -25.274398)"
2824,Australia,Iran (Islamic Rep. of),1998,462,,"(133.775136, -25.274398)"
2831,Australia,Lao People's Dem. Rep.,1998,4,,"(133.775136, -25.274398)"
2833,Australia,Myanmar,1998,86,,"(133.775136, -25.274398)"
2838,Australia,Russian Federation,1998,24,,"(133.775136, -25.274398)"
2839,Australia,Serbia and Kosovo: S/RES/1244 (1999),1998,3322,,"(133.775136, -25.274398)"
2844,Australia,Stateless,1998,5,,"(133.775136, -25.274398)"
2846,Australia,Syrian Arab Rep.,1998,5,,"(133.775136, -25.274398)"
2848,Australia,The former Yugoslav Rep. of Macedonia,1998,2,,"(133.775136, -25.274398)"
2852,Australia,United Rep. of Tanzania,1998,1,,"(133.775136, -25.274398)"
2853,Australia,Viet Nam,1998,209,,"(133.775136, -25.274398)"
2855,Burkina Faso,Dem. Rep. of the Congo,1998,4,,"(-1.561593, 12.238333)"
2856,Burundi,Dem. Rep. of the Congo,1998,15,,"(29.918886, -3.373056)"
2859,Cameroon,Dem. Rep. of the Congo,1998,5,,"(12.354722, 7.369722)"
2861,Cameroon,Various/unknown,1998,1,,"(12.354722, 7.369722)"
2881,Canada,"China, Hong Kong SAR",1998,2,,"(-106.346771, 56.130366)"
2883,Canada,Congo,1998,1,,"(-106.346771, 56.130366)"
2888,Canada,Dem. Rep. of the Congo,1998,51,,"(-106.346771, 56.130366)"
2905,Canada,Iran (Islamic Rep. of),1998,269,,"(-106.346771, 56.130366)"
2915,Canada,Lao People's Dem. Rep.,1998,1,,"(-106.346771, 56.130366)"
2923,Canada,Myanmar,1998,40,,"(-106.346771, 56.130366)"
2931,Canada,Russian Federation,1998,169,,"(-106.346771, 56.130366)"
2934,Canada,Serbia and Kosovo: S/RES/1244 (1999),1998,379,,"(-106.346771, 56.130366)"
2944,Canada,Syrian Arab Rep.,1998,12,,"(-106.346771, 56.130366)"
2947,Canada,The former Yugoslav Rep. of Macedonia,1998,3,,"(-106.346771, 56.130366)"
2948,Canada,Tibetan,1998,4,,"(-106.346771, 56.130366)"
2953,Canada,United Kingdom of Great Britain and Northern Ireland,1998,5,,"(-106.346771, 56.130366)"
2954,Canada,United States of America,1998,1,,"(-106.346771, 56.130366)"
2956,Canada,Various/unknown,1998,29,,"(-106.346771, 56.130366)"
2957,Canada,Viet Nam,1998,23,,"(-106.346771, 56.130366)"
2963,Denmark,Dem. Rep. of the Congo,1998,3,,"(9.501785, 56.26392)"
2967,Denmark,Iran (Islamic Rep. of),1998,152,,"(9.501785, 56.26392)"
2971,Denmark,Stateless,1998,3,,"(9.501785, 56.26392)"
2973,Denmark,Syrian Arab Rep.,1998,1,,"(9.501785, 56.26392)"
2975,Denmark,Viet Nam,1998,1,,"(9.501785, 56.26392)"
2977,Finland,Various/unknown,1998,304,,"(25.748151, 61.92411)"
2979,Iran (Islamic Rep. of),Iraq,1998,191,"(43.679291, 33.223191)",
2985,Netherlands,Dem. Rep. of the Congo,1998,19,,"(5.291266, 52.132633)"
2986,Netherlands,Iran (Islamic Rep. of),1998,6,,"(5.291266, 52.132633)"
2988,Netherlands,Palestinian,1998,6,,"(5.291266, 52.132633)"
2993,New Zealand,Congo,1998,1,,"(174.885971, -40.900557)"
2996,New Zealand,Iran (Islamic Rep. of),1998,70,,"(174.885971, -40.900557)"
3004,New Zealand,Syrian Arab Rep.,1998,4,,"(174.885971, -40.900557)"
3006,New Zealand,Viet Nam,1998,8,,"(174.885971, -40.900557)"
3014,Norway,Congo,1998,1,,"(8.468946, 60.472024)"
3016,Norway,Dem. Rep. of the Congo,1998,27,,"(8.468946, 60.472024)"
3020,Norway,Iran (Islamic Rep. of),1998,369,,"(8.468946, 60.472024)"
3026,Norway,Stateless,1998,5,,"(8.468946, 60.472024)"
3028,Norway,Syrian Arab Rep.,1998,10,,"(8.468946, 60.472024)"
3041,Sweden,Iran (Islamic Rep. of),1998,765,,"(18.643501, 60.128161)"
3044,Sweden,Serbia and Kosovo: S/RES/1244 (1999),1998,2,,"(18.643501, 60.128161)"
3045,Sweden,Stateless,1998,3,,"(18.643501, 60.128161)"
3046,Sweden,Syrian Arab Rep.,1998,3,,"(18.643501, 60.128161)"
3047,Sweden,Various/unknown,1998,47,,"(18.643501, 60.128161)"
3048,United States of America,Afghanistan,1998,88,"(67.709953, 33.93911)",
3049,United States of America,Albania,1998,3,"(20.168331, 41.153332)",
3050,United States of America,Bosnia and Herzegovina,1998,30906,"(17.679076, 43.915886)",
3051,United States of America,Burundi,1998,24,"(29.918886, -3.373056)",
3052,United States of America,Côte d'Ivoire,1998,1,"(-5.54708, 7.539989)",
3053,United States of America,Cameroon,1998,15,"(12.354722, 7.369722)",
3054,United States of America,Chad,1998,41,"(18.732207, 15.454166)",
3055,United States of America,Cuba,1998,1587,"(-77.781167, 21.521757)",
3056,United States of America,Dem. Rep. of the Congo,1998,52,,
3057,United States of America,Djibouti,1998,15,"(42.590275, 11.825138)",
3058,United States of America,Eritrea,1998,9,"(39.782334, 15.179384)",
3059,United States of America,Ethiopia,1998,152,"(40.489673, 9.145)",
3060,United States of America,Gambia,1998,50,"(-15.310139, 13.443182)",
3061,United States of America,Indonesia,1998,1,"(113.921327, -0.789275)",
3062,United States of America,Iran (Islamic Rep. of),1998,1699,,
3063,United States of America,Iraq,1998,1407,"(43.679291, 33.223191)",
3064,United States of America,Kenya,1998,13,"(37.906193, -0.023559)",
3065,United States of America,Liberia,1998,1494,"(-9.429499, 6.428055)",
3066,United States of America,Madagascar,1998,2,"(46.869107, -18.766947)",
3067,United States of America,Myanmar,1998,186,,
3068,United States of America,Nigeria,1998,312,"(8.675277, 9.081999)",
3069,United States of America,Poland,1998,2,"(19.145136, 51.919438)",
3070,United States of America,Russian Federation,1998,23349,,
3071,United States of America,Rwanda,1998,86,"(29.873888, -1.940278)",
3072,United States of America,Sierra Leone,1998,176,"(-11.779889, 8.460555)",
3073,United States of America,Somalia,1998,2951,"(46.199616, 5.152149)",
3074,United States of America,Sudan,1998,1252,"(30.217636, 12.862807)",
3075,United States of America,Togo,1998,15,"(0.824782, 8.619543)",
3076,United States of America,Tunisia,1998,3,"(9.537499, 33.886917)",
3077,United States of America,Uganda,1998,2,"(32.290275, 1.373333)",
3078,United States of America,Viet Nam,1998,10661,,
3079,Uruguay,Viet Nam,1998,1,,"(-55.765835, -32.522779)"
3092,Australia,Dem. Rep. of the Congo,1999,1,,"(133.775136, -25.274398)"
3102,Australia,Iran (Islamic Rep. of),1999,461,,"(133.775136, -25.274398)"
3108,Australia,Myanmar,1999,99,,"(133.775136, -25.274398)"
3111,Australia,Palestinian,1999,17,,"(133.775136, -25.274398)"
3113,Australia,Russian Federation,1999,15,,"(133.775136, -25.274398)"
3114,Australia,Serbia and Kosovo: S/RES/1244 (1999),1999,2157,,"(133.775136, -25.274398)"
3118,Australia,Stateless,1999,13,,"(133.775136, -25.274398)"
3120,Australia,Syrian Arab Rep.,1999,3,,"(133.775136, -25.274398)"
3125,Australia,Viet Nam,1999,24,,"(133.775136, -25.274398)"
3129,Benin,Dem. Rep. of the Congo,1999,2,,"(2.315834, 9.30769)"
3135,Burkina Faso,Dem. Rep. of the Congo,1999,6,,"(-1.561593, 12.238333)"
3161,Canada,Czech Rep.,1999,1,,"(-106.346771, 56.130366)"
3162,Canada,Dem. Rep. of the Congo,1999,86,,"(-106.346771, 56.130366)"
3178,Canada,Iran (Islamic Rep. of),1999,470,,"(-106.346771, 56.130366)"
3191,Canada,Myanmar,1999,49,,"(-106.346771, 56.130366)"
3196,Canada,Russian Federation,1999,17,,"(-106.346771, 56.130366)"
3198,Canada,Serbia and Kosovo: S/RES/1244 (1999),1999,384,,"(-106.346771, 56.130366)"
3208,Canada,Syrian Arab Rep.,1999,20,,"(-106.346771, 56.130366)"
3211,Canada,The former Yugoslav Rep. of Macedonia,1999,5,,"(-106.346771, 56.130366)"
3217,Canada,United Kingdom of Great Britain and Northern Ireland,1999,1,,"(-106.346771, 56.130366)"
3218,Canada,United Rep. of Tanzania,1999,1,,"(-106.346771, 56.130366)"
3220,Canada,Various/unknown,1999,20,,"(-106.346771, 56.130366)"
3221,Canada,Venezuela (Bolivarian Republic of),1999,3,,"(-106.346771, 56.130366)"
3222,Canada,Viet Nam,1999,15,,"(-106.346771, 56.130366)"
3226,Chile,Serbia and Kosovo: S/RES/1244 (1999),1999,27,,"(-71.542969, -35.675147)"
3230,Denmark,Congo,1999,7,,"(9.501785, 56.26392)"
3231,Denmark,Dem. Rep. of the Congo,1999,20,,"(9.501785, 56.26392)"
3234,Denmark,Iran (Islamic Rep. of),1999,139,,"(9.501785, 56.26392)"
3238,Denmark,Serbia and Kosovo: S/RES/1244 (1999),1999,13,,"(9.501785, 56.26392)"
3240,Denmark,Stateless,1999,1,,"(9.501785, 56.26392)"
3241,Denmark,Syrian Arab Rep.,1999,9,,"(9.501785, 56.26392)"
3246,Denmark,Viet Nam,1999,1,,"(9.501785, 56.26392)"
3248,Finland,Iran (Islamic Rep. of),1999,274,,"(25.748151, 61.92411)"
3251,Finland,Serbia and Kosovo: S/RES/1244 (1999),1999,104,,"(25.748151, 61.92411)"
3252,Iceland,Serbia and Kosovo: S/RES/1244 (1999),1999,75,,"(-19.020835, 64.963051)"
3253,Ireland,Serbia and Kosovo: S/RES/1244 (1999),1999,1032,,"(-8.24389, 53.41291)"
3254,Japan,Viet Nam,1999,5,,"(138.252924, 36.204824)"
3255,Netherlands,Dem. Rep. of the Congo,1999,5,,"(5.291266, 52.132633)"
3257,Netherlands,Viet Nam,1999,1,,"(5.291266, 52.132633)"
3261,New Zealand,Iran (Islamic Rep. of),1999,41,,"(174.885971, -40.900557)"
3263,New Zealand,Serbia and Kosovo: S/RES/1244 (1999),1999,384,,"(174.885971, -40.900557)"
3267,New Zealand,Various/unknown,1999,83,,"(174.885971, -40.900557)"
3268,New Zealand,Viet Nam,1999,60,,"(174.885971, -40.900557)"
3276,Norway,Congo,1999,8,,"(8.468946, 60.472024)"
3278,Norway,Dem. People's Rep. of Korea,1999,3,,"(8.468946, 60.472024)"
3279,Norway,Dem. Rep. of the Congo,1999,57,,"(8.468946, 60.472024)"
3283,Norway,Iran (Islamic Rep. of),1999,422,,"(8.468946, 60.472024)"
3291,Norway,Serbia and Kosovo: S/RES/1244 (1999),1999,19,,"(8.468946, 60.472024)"
3294,Norway,Syrian Arab Rep.,1999,5,,"(8.468946, 60.472024)"
3301,Sweden,Iran (Islamic Rep. of),1999,157,,"(18.643501, 60.128161)"
3303,Sweden,Serbia and Kosovo: S/RES/1244 (1999),1999,22,,"(18.643501, 60.128161)"
3305,Sweden,Syrian Arab Rep.,1999,3,,"(18.643501, 60.128161)"
3306,Sweden,Various/unknown,1999,118,,"(18.643501, 60.128161)"
3307,United States of America,Afghanistan,1999,364,"(67.709953, 33.93911)",
3308,United States of America,Albania,1999,8,"(20.168331, 41.153332)",
3309,United States of America,Algeria,1999,12,"(1.659626, 28.033886)",
3310,United States of America,Armenia,1999,35,"(45.038189, 40.069099)",
3311,United States of America,Azerbaijan,1999,210,"(47.576927, 40.143105)",
3312,United States of America,Belarus,1999,975,"(27.953389, 53.709807)",
3313,United States of America,Bosnia and Herzegovina,1999,22697,"(17.679076, 43.915886)",
3314,United States of America,Burundi,1999,223,"(29.918886, -3.373056)",
3315,United States of America,Côte d'Ivoire,1999,5,"(-5.54708, 7.539989)",
3316,United States of America,Cameroon,1999,9,"(12.354722, 7.369722)",
3317,United States of America,Central African Rep.,1999,1,,
3318,United States of America,Chad,1999,22,"(18.732207, 15.454166)",
3319,United States of America,China,1999,1,"(104.195397, 35.86166)",
3320,United States of America,Congo,1999,27,,
3321,United States of America,Croatia,1999,1660,"(15.2, 45.1)",
3322,United States of America,Cuba,1999,2018,"(-77.781167, 21.521757)",
3323,United States of America,Dem. Rep. of the Congo,1999,42,,
3324,United States of America,Djibouti,1999,8,"(42.590275, 11.825138)",
3325,United States of America,Eritrea,1999,32,"(39.782334, 15.179384)",
3326,United States of America,Estonia,1999,64,"(25.013607, 58.595272)",
3327,United States of America,Ethiopia,1999,1879,"(40.489673, 9.145)",
3328,United States of America,Gambia,1999,13,"(-15.310139, 13.443182)",
3329,United States of America,Georgia,1999,50,"(43.356892, 42.315407)",
3330,United States of America,Ghana,1999,5,"(-1.023194, 7.946527)",
3331,United States of America,Guinea,1999,6,"(-9.696645, 9.945587)",
3332,United States of America,Haiti,1999,91,"(-72.285215, 18.971187)",
3333,United States of America,Indonesia,1999,26,"(113.921327, -0.789275)",
3334,United States of America,Iran (Islamic Rep. of),1999,1739,,
3335,United States of America,Iraq,1999,1955,"(43.679291, 33.223191)",
3336,United States of America,Kazakhstan,1999,406,"(66.923684, 48.019573)",
3337,United States of America,Kenya,1999,2,"(37.906193, -0.023559)",
3338,United States of America,Kyrgyzstan,1999,139,"(74.766098, 41.20438)",
3339,United States of America,Lao People's Dem. Rep.,1999,19,,
3340,United States of America,Latvia,1999,160,"(24.603189, 56.879635)",
3341,United States of America,Liberia,1999,2495,"(-9.429499, 6.428055)",
3342,United States of America,Lithuania,1999,13,"(23.881275, 55.169438)",
3343,United States of America,Mauritania,1999,1,"(-10.940835, 21.00789)",
3344,United States of America,Myanmar,1999,295,,
3345,United States of America,Nigeria,1999,625,"(8.675277, 9.081999)",
3346,United States of America,Peru,1999,1,"(-75.015152, -9.189967)",
3347,United States of America,Poland,1999,2,"(19.145136, 51.919438)",
3348,United States of America,Rep. of Moldova,1999,1019,,
3349,United States of America,Romania,1999,2,"(24.96676, 45.943161)",
3350,United States of America,Russian Federation,1999,4256,,
3351,United States of America,Rwanda,1999,153,"(29.873888, -1.940278)",
3352,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1999,14280,,
3353,United States of America,Sierra Leone,1999,675,"(-11.779889, 8.460555)",
3354,United States of America,Slovenia,1999,2,"(14.995463, 46.151241)",
3355,United States of America,Somalia,1999,4317,"(46.199616, 5.152149)",
3356,United States of America,Sri Lanka,1999,5,"(80.771797, 7.873054)",
3357,United States of America,Sudan,1999,2392,"(30.217636, 12.862807)",
3358,United States of America,Syrian Arab Rep.,1999,2,,
3359,United States of America,Tajikistan,1999,9,"(71.276093, 38.861034)",
3360,United States of America,The former Yugoslav Rep. of Macedonia,1999,3,,
3361,United States of America,Togo,1999,93,"(0.824782, 8.619543)",
3362,United States of America,Turkmenistan,1999,16,"(59.556278, 38.969719)",
3363,United States of America,Uganda,1999,12,"(32.290275, 1.373333)",
3364,United States of America,Ukraine,1999,8563,"(31.16558, 48.379433)",
3365,United States of America,United Rep. of Tanzania,1999,1,,
3366,United States of America,Uzbekistan,1999,815,"(64.585262, 41.377491)",
3367,United States of America,Various/unknown,1999,192,,
3368,United States of America,Viet Nam,1999,9863,,
3369,United States of America,Yemen,1999,1,"(48.516388, 15.552727)",
3383,Australia,Congo,2000,3,,"(133.775136, -25.274398)"
3385,Australia,Czech Rep.,2000,1,,"(133.775136, -25.274398)"
3396,Australia,Iran (Islamic Rep. of),2000,478,,"(133.775136, -25.274398)"
3402,Australia,Myanmar,2000,47,,"(133.775136, -25.274398)"
3404,Australia,Russian Federation,2000,11,,"(133.775136, -25.274398)"
3405,Australia,Serbia and Kosovo: S/RES/1244 (1999),2000,1492,,"(133.775136, -25.274398)"
3409,Australia,Stateless,2000,10,,"(133.775136, -25.274398)"
3411,Australia,Syrian Arab Rep.,2000,4,,"(133.775136, -25.274398)"
3415,Australia,Various/unknown,2000,4,,"(133.775136, -25.274398)"
3416,Australia,Viet Nam,2000,8,,"(133.775136, -25.274398)"
3420,Benin,Dem. Rep. of the Congo,2000,13,,"(2.315834, 9.30769)"
3430,Burkina Faso,Dem. Rep. of the Congo,2000,11,,"(-1.561593, 12.238333)"
3438,Canada,Dem. Rep. of the Congo,2000,270,,"(-106.346771, 56.130366)"
3444,Canada,Iran (Islamic Rep. of),2000,662,,"(-106.346771, 56.130366)"
3449,Canada,Myanmar,2000,51,,"(-106.346771, 56.130366)"
3452,Canada,Serbia and Kosovo: S/RES/1244 (1999),2000,4230,,"(-106.346771, 56.130366)"
3457,Canada,Syrian Arab Rep.,2000,115,,"(-106.346771, 56.130366)"
3460,Canada,Various/unknown,2000,153,,"(-106.346771, 56.130366)"
3464,Denmark,Congo,2000,9,,"(9.501785, 56.26392)"
3465,Denmark,Dem. Rep. of the Congo,2000,11,,"(9.501785, 56.26392)"
3466,Denmark,Iran (Islamic Rep. of),2000,50,,"(9.501785, 56.26392)"
3468,Denmark,Myanmar,2000,36,,"(9.501785, 56.26392)"
3480,Finland,Iran (Islamic Rep. of),2000,118,,"(25.748151, 61.92411)"
3482,Finland,Myanmar,2000,94,,"(25.748151, 61.92411)"
3483,Finland,Serbia and Kosovo: S/RES/1244 (1999),2000,93,,"(25.748151, 61.92411)"
3484,Finland,Various/unknown,2000,16,,"(25.748151, 61.92411)"
3485,Iceland,Serbia and Kosovo: S/RES/1244 (1999),2000,24,,"(-19.020835, 64.963051)"
3488,Ireland,Dem. Rep. of the Congo,2000,4,,"(-8.24389, 53.41291)"
3489,Ireland,Iran (Islamic Rep. of),2000,6,,"(-8.24389, 53.41291)"
